Engere Wahl des Bürgermeisters Landeshauptstadt Innsbruck 2024, 28.04.2024 (Bericht wurde generiert am 28.04.2024 um 17:34)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Sprengel_Nr;Wahlberechtigte;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Kandidat1;Name/Kandidat1;Stimmen/Kandidat1;Prozente/Kandidat1;BGM/Kandidat1;Nr./Kandidat2;Name/Kandidat2;Stimmen/Kandidat2;Prozente/Kandidat2;BGM/Kandidat2;
701;Innsbruck-Stadt;70101;Innsbruck;251;;344;;341;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);70;20,53;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);271;79,47;;
701;Innsbruck-Stadt;70101;Innsbruck;252;;249;;247;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);59;23,89;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);188;76,11;;
701;Innsbruck-Stadt;70101;Innsbruck;253;;221;;221;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);43;19,46;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);178;80,54;;
701;Innsbruck-Stadt;70101;Innsbruck;254;;315;;312;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;27,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);226;72,44;;
701;Innsbruck-Stadt;70101;Innsbruck;255;;294;;293;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);44;15,02;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);249;84,98;;
701;Innsbruck-Stadt;70101;Innsbruck;256;;275;;275;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);41;14,91;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);234;85,09;;
701;Innsbruck-Stadt;70101;Innsbruck;257;;322;;320;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);89;27,81;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);231;72,19;;
701;Innsbruck-Stadt;70101;Innsbruck;260;;341;;338;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);67;19,82;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);271;80,18;;
701;Innsbruck-Stadt;70101;Innsbruck;261;;207;;205;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);36;17,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);169;82,44;;
701;Innsbruck-Stadt;70101;Innsbruck;262;;258;;258;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);72;27,91;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);186;72,09;;
701;Innsbruck-Stadt;70101;Innsbruck;263;;289;;289;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);64;22,15;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);225;77,85;;
701;Innsbruck-Stadt;70101;Innsbruck;264;;225;;224;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);50;22,32;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);174;77,68;;
701;Innsbruck-Stadt;70101;Innsbruck;265;;292;;291;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);71;24,40;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);220;75,60;;
701;Innsbruck-Stadt;70101;Innsbruck;300;;386;;384;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);181;47,14;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);203;52,86;;
701;Innsbruck-Stadt;70101;Innsbruck;301;;303;;300;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);103;34,33;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);197;65,67;;
701;Innsbruck-Stadt;70101;Innsbruck;302;;427;;424;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);205;48,35;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);219;51,65;;
701;Innsbruck-Stadt;70101;Innsbruck;303;;382;;379;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);196;51,72;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);183;48,28;;
701;Innsbruck-Stadt;70101;Innsbruck;304;;391;;387;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);202;52,20;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);185;47,80;;
701;Innsbruck-Stadt;70101;Innsbruck;305;;425;;424;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);225;53,07;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);199;46,93;;
701;Innsbruck-Stadt;70101;Innsbruck;306;;220;;218;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);120;55,05;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);98;44,95;;
